#,Domain,Name,Similarity,Primary Industry,All Industries,Location,Description
11,customaffiliatewebsites.com,Custom Affiliate Websites,88.0,ADVERTISING_AND_MARKETING,"ADVERTISING_AND_MARKETING, IT_SERVICES","North Conway, NH","CrossFit Affiliates offers web design services specifically for CrossFit gyms. The process includes initial consultations to understand layout options, revisions for the final design, and ongoing support after launch. Clients have control over their website content, including updates like WOD upload"
12,selectprintingusa.com,Select Printing,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, FASHION_TEXTILE_AND_APPAREL","Boise, ID","Select Printing is a company that specializes in custom apparel decoration, including shirts and sweatshirts. They provide tailored solutions for various clients such as team leaders, event managers, and small businesses to ensure high-quality products at competitive prices. The process includes und"
13,humblymade.com,Humbly Made,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, FASHION_TEXTILE_AND_APPAREL","Raleigh, NC","Humbly Made is a custom screen printing and embroidery service based in North Carolina that specializes in high-quality apparel for small businesses, breweries, restaurants, and restaurants. The company offers a range of products including t-shirts, hoodies, hats, and patches, all tailored to meet s"
14,strikermarketing.net,Striker Marketing,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, ADVERTISING_AND_MARKETING","Dahlonega, GA","Striker Marketing is a custom merchandise and promotional goods service that specializes in creating tailored apparel for businesses, athletics, events, and other purposes. Their main functionality includes designing and producing custom clothing items such as shirts, jackets, and signage, as well a"
15,customsportsandapparel.com,Custom Sports and Apparel,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, CONSUMER_SERVICES","Orion Township, MI","Print CSA is a service that specializes in custom sports and apparel, offering high-quality DTF (Direct to Film) printing for companies, schools, teams, and events. Users can upload their artwork or designs, approve mockups, and place orders online with a straightforward process. The service provide"
16,wolfcustoms.net,Wolf Customs,88.0,E-COMMERCE,"E-COMMERCE, FASHION_TEXTILE_AND_APPAREL","Parkersburg, WV","Wolf Customs is a custom embroidery and printing service that specializes in creating high-quality clothing, including corporate uniforms and gifts. They offer a collaborative design process where clients receive visual representations of their designs before production. The company emphasizes quali"
17,factory1direct.com,Factory 1 Direct,88.0,E-COMMERCE,E-COMMERCE,"Culver City, CA","Factory 1 is a platform that allows users to design and order custom T-shirts online, including a variety of apparel items like hoodies, sweatshirts, and tie dye. Users can upload their designs, select sizes, colors, and quantities, ensuring a personalized shopping experience. The service includes a"
18,designsunlimitedapparel.com,Designs Unlimited,88.0,E-COMMERCE,"E-COMMERCE, BUSINESS_PRODUCTS_AND_SERVICES","Elizabethtown, PA","Designs Unlimited is a company that specializes in custom screen printing and embroidery for spirit wear, uniforms, and branded apparel. They offer a range of services including high-quality t-shirts, outerwear, hats, and bags tailored to various occasions such as school sports, booster clubs, and c"
19,unitedfitnesscrossfit.com,United Fitness CrossFit,88.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"Carolina, NC","United Fitness CrossFit is a fitness facility in Raleigh that offers various programs for individuals of all skill levels. Their main offerings include a free 90-day introductory class, Sweat program designed for high-intensity workouts, and personalized training plans tailored to individual goals. "
20,crossfithts.com,CrossFit HTS,88.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"Carrboro, NC","CrossFit HTS is a fitness gym located in Chapel Hill and Carrboro, NC, offering various programs and services for individuals of all ages and skill levels. The main functionalities include drop-in CrossFit classes, barbell training, open gym sessions, and mobility training. Members can start with a "
21,gic.graphics,GIC Graphic Wear,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, E-COMMERCE","Anaheim, CA","GIC Graphic Wear is a screen printing service that specializes in custom apparel for events. They offer on-location printing solutions, allowing clients to order shirts and accessories tailored to their specific needs at various locations across California and surrounding states. Key features includ"
22,easyapparel.co,Easy Apparel,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, E-COMMERCE","Los Angeles, CA","Easy Apparel is a custom apparel printing service that offers over 4000 styles from brands like Gildan and Nike. The platform simplifies the process of ordering by providing exclusive pricing, receiving full order proof, and ensuring quick delivery within five business days. Customers can choose pro"
23,merchn.com,Merchn,88.0,E-COMMERCE,"E-COMMERCE, FASHION_TEXTILE_AND_APPAREL","Chicago, IL","Merchn is a custom t-shirt printing service that offers a variety of apparel, including sweatshirts, tank tops, hats, and hoodies, all made in the United States. Customers can easily place orders online or by phone, and all orders are shipped free, with a partnership with UPS for heavy shipping. Mer"
24,mytshirtgrind.com,My T-shirt Grind,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, CONSUMER_SERVICES","Savannah, GA","The website offers custom DTF printing services for apparel and accessories, with no minimum order requirements or upfront pricing. Users can upload their design files in a simple three-step process to create personalized designs that are ready for print. The service provides fast turnaround times o"
25,bolderoutfitters.com,Bolder Outfitters & Co.,88.0,FASHION_TEXTILE_AND_APPAREL,"FASHION_TEXTILE_AND_APPAREL, E-COMMERCE","Urbana, OH","Bolder Outfitters & Co. is a custom screen printing and embroidery shop that specializes in creating high-quality apparel for brands. The service offers a streamlined ordering process without the usual complexities of traditional printing methods, allowing customers to enjoy the final product. Key f"
26,alphaironpress.com,Alpha Iron Press,88.0,E-COMMERCE,E-COMMERCE,"None, None","Alpha Iron Press is a custom screen printing service that specializes in creating unique apparel for various brands and events. The main functionality includes providing high-quality, handcrafted prints using durable materials like DOC Lyss, with options for custom embroidery or screen printing on d"
27,merchconcepts.com,Merch Concepts,88.0,E-COMMERCE,E-COMMERCE,"New Jersey, NJ","Merch Concepts is a custom apparel service that specializes in screen printing, embroidery, and direct-to-film printing. Customers can upload their designs online or choose from templates, select quantities, and sizes to create personalized apparel for various occasions such as team events, workwear"
28,syracuseprintco.com,Syracuse Print Co.,87.0,E-COMMERCE,"E-COMMERCE, FASHION_TEXTILE_AND_APPAREL","New York, NY","S Syracuse Print Co., Inc. offers custom screen printing and embroidery services for a variety of apparel, including t-shirts, hoodies, and hats, tailored for different needs such as school events, fundraisers, and small orders. The company provides fast delivery within Syracuse and guarantees custo"
29,selectscreenprints.com,"Select Screen Prints & Embroidery, Inc.",87.0,RETAIL,"RETAIL, FASHION_TEXTILE_AND_APPAREL","Bloomington, IL","Select Screen Prints & Embroidery, Inc. offers custom apparel services including screen printing and sublimation for schools, teams, businesses, and organizations across Central Illinois and nationwide. Their main functionality is to simplify the ordering process for customized clothing, catering to"
30,nbnsports.com,NBN Sports,87.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, E-COMMERCE","San Jose, CA","NBN Sports offers custom screen printing services and apparel for various sports teams, corporate clients, and events. Their main functionality includes creating personalized uniforms, t-shirts, hoodies, and promotional items tailored to team values and needs. Key features include a wide selection o"
31,brandedscreenprinting.com,Branded Screen Printing,87.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, E-COMMERCE","Reno, NV","Branded is a custom printing service that specializes in apparel, promotional products, and apparel for businesses, teams, and events. It offers a wide range of items including t-shirts, hoodies, polo shirts, and workwear, all designed to be personalized with logos and designs. Key features include "
32,yourbrandcompany.com,Your Brand Company,87.0,E-COMMERCE,E-COMMERCE,"Delray Beach, FL","Your Brand Company is a retailer specializing in custom team and work apparel, including sportswear, accessories, and banners. They offer a wide range of products from over 60 top brands, allowing customers to customize designs with unlimited colors, names, numbers, and logos. The company provides f"
33,pridefit.com,Pridefit,87.0,SPORTS_AND_RECREATION,"SPORTS_AND_RECREATION, WELLNESS_AND_LIFESTYLE","New York, NY","Pridefit is a fitness app designed specifically for LGBTQIA+ individuals, offering tailored workout plans and nutrition resources to help users achieve their health goals. The app provides personalized workout programs, weekly access to workout videos, and a community of fitness coaches to support o"
34,signatureprinthouse.com,Signature Printhouse,87.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, FASHION_TEXTILE_AND_APPAREL","Newtown, CT","Signature Printhouse is a custom screen printing service based in Newtown, CT, that specializes in creating personalized apparel and merchandise. The company handles all aspects of the printing process, including design approval, shipping, and setup, allowing clients to focus on their designs. Key f"
35,aliveprintshop.com,Alive Print Shop,87.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, E-COMMERCE","North Las Vegas, NV","Alive Print Shop is a custom apparel and promotional products based in Las Vegas, specializing in bulk apparel for businesses, brands, and events. The service offers screen printing and embroidery for various apparel items, including uniforms, workwear, and branded merchandise for trade shows and co"
36,mtshastatees.com,MtShastaTees by Custom Designs,87.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, E-COMMERCE","Mount Shasta, CA","MtShastaTees by Custom Designs offers custom screen printing and embroidery services for a variety of apparel, including t-shirts, polos, sweatshirts, hats, jackets, and bags. The company specializes in creating tailored apparel for businesses, schools, sports teams, and events, as well as workwear "
37,braveenoughcrossfit.com,Brave Enough CrossFit,87.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"North Kansas City, MO","Brave Enough CrossFit is a fitness gym located in North Kansas City that offers a variety of programs for individuals of all fitness levels. The main services include a No-Sweat Intro program, personalized personal training, and CrossFit classes that cover essential exercises and techniques. Members"
38,rtprintshop.com,Rogue Threads,87.0,FASHION_TEXTILE_AND_APPAREL,"FASHION_TEXTILE_AND_APPAREL, BUSINESS_PRODUCTS_AND_SERVICES","White City, OR","Rogue Threads is a custom apparel printing service that specializes in high-quality clothing and accessories for businesses, events, and creators. They offer a range of services including direct to garment printing, laser engraving, and graphic design, allowing clients to customize their apparel wit"
39,brokeninkprinting.com,Broken Ink Screen Printing,87.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, CONSUMER_SERVICES","Stover, MO",Broken Ink Screen Printing is a local screen printing shop that specializes in custom apparel and promotional items. They collaborate with clients to understand their ideas and provide free design assistance for the first hour of design work on all orders. The company typically delivers shirts withi
40,mentalgiantscrossfit.com,Mental Giants CrossFit,87.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"Dallas, TX","Mental Giants CrossFit is a fitness gym in Dallas, TX, offering CrossFit classes, supplemental training, and personal training programs tailored to individual fitness goals. The gym provides a variety of classes designed to enhance strength and endurance, as well as nutrition plans that focus on sus"
41,shirtletics.com,Shirtletics,87.0,E-COMMERCE,"E-COMMERCE, FASHION_TEXTILE_AND_APPAREL","Usa, None","Shirtletics is a platform that provides custom clothing and merchandise for fitness schools and companies. It allows users to submit their designs, which are then printed and processed through various printing methods, including direct-to-garment (DTF) and screen printing. The service includes featu"
42,exceltees.com,Excel Sportswear,87.0,E-COMMERCE,"E-COMMERCE, BUSINESS_PRODUCTS_AND_SERVICES","Trafford, PA","Excel Sportswear is a company that specializes in custom screen printing and hand-drawn t-shirts, hoodies, hats, and other apparel. They offer a wide range of customizable designs, including school designs, automotive, fire department, law enforcement, and more, tailored to meet specific business ne"
43,crosscreationsandcustoms.com,Cross Creations & Customs,87.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, FASHION_TEXTILE_AND_APPAREL","Atlanta, GA","Cross Creations & Customs is a custom apparel and branding service that specializes in creating tailored apparel for businesses and individuals. They offer a range of services including full-service garment printing, screen printing, direct-to-film, and embroidery, as well as marketing materials lik"
44,teampacks.com,Teampacks.com,87.0,E-COMMERCE,"E-COMMERCE, BUSINESS_PRODUCTS_AND_SERVICES","Hampstead, NC","Teampacks.com is an online retailer specializing in sports apparel and custom printing services. The website offers a variety of products including team practice packs for different sports such as baseball, basketball, football, and soccer, along with accessories and branding solutions. Customers ca"
45,crossfitcontrivance.com,CrossFit Contrivance,87.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"Holly Springs, NC","CrossFit Contrivance is a CrossFit gym located in Apex, NC, offering a variety of fitness programs for all skill levels, including CrossFit, strength training, and yoga. The gym provides a supportive community that encourages members to achieve their fitness goals through accountability, encourageme"
46,fbbcgear.com,Fit Body Boot Camp,87.0,E-COMMERCE,"E-COMMERCE, RETAIL","Tallahassee, FL","Fit Body Boot Camp HQ is a wholesale platform that allows gym owners and coaches to create their own online stores for fitness apparel, including leggings, shorts, and sweatshirts. The service offers customizable store solutions that allow gym locations to manage their own stores without inventory, "
47,crossfitbound.com,CrossFit Bound,87.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"Kennesaw, GA","CrossFit Bound is a fitness facility that offers group and online CrossFit classes for individuals of all skill levels. Its main functionalities include personalized personal training, nutrition coaching, and 24/7 access to the gym at any time. Members can also participate in guided workouts, progre"
48,boldimprint.com,Bold Imprint,87.0,E-COMMERCE,E-COMMERCE,"Tukwila, WA","Bold Imprint is an online platform that allows users to create custom apparel through various printing services such as screen printing, embroidery, digital printing, and sublimation. Users can design their own garments using a design studio, add custom text, and customize items like t-shirts, hoodi"
49,rdpsports.com,"RDP Sports, Inc.",87.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, FASHION_TEXTILE_AND_APPAREL","Twinsburg, OH","RDP Sports is a company that specializes in custom screen printing, embroidery, and signage for schools, businesses, and organizations in Northeast Ohio. They offer a range of services including screen printing for uniforms, premium embroideries, and direct-to-film transfers for various products lik"
50,cfatp.com,CrossFit ATP,87.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"Charlotte, NC","CrossFit ATP is a fitness gym located in Charlotte, NC, offering CrossFit classes and personal training services. The main functionality includes providing tailored workout programs for all skill levels, including beginner classes, advanced strength exercises, and specialized nutrition programming. "
