domain,name,similarity,employees,city,state,country,description,linkedin
mytshirtgrind.com,My T-shirt Grind,88.0,11-50,Savannah,GA,US,"The website offers custom DTF printing services for apparel and accessories, with no minimum order requirements or upfront pricing. Users can upload their design files in a simple three-step process t",
ourrepublic7.com,Our Republic 7,88.0,1-10,Marina Del Rey,CA,US,"Our Republic 7 is a custom printing and embroidery service that offers a range of products and supplies for businesses and individuals. The main functionality includes creating customized apparel, bus",
bolderoutfitters.com,Bolder Outfitters & Co.,88.0,11-50,Urbana,OH,US,Bolder Outfitters & Co. is a custom screen printing and embroidery shop that specializes in creating high-quality apparel for brands. The service offers a streamlined ordering process without the usua,
alphaironpress.com,Alpha Iron Press,88.0,11-50,,,US,"Alpha Iron Press is a custom screen printing service that specializes in creating unique apparel for various brands and events. The main functionality includes providing high-quality, handcrafted prin",
affiliate-supply.com,Affiliate Supply,88.0,1-10,Fenton,MI,US,"Affiliate Supply is an online store that specializes in fitness apparel for gyms and affiliate owners. The main functionality of the website allows users to search for specific gym-specific clothing, ",
merchconcepts.com,Merch Concepts,88.0,11-50,New Jersey,NJ,US,"Merch Concepts is a custom apparel service that specializes in screen printing, embroidery, and direct-to-film printing. Customers can upload their designs online or choose from templates, select quan",
syracuseprintco.com,Syracuse Print Co.,87.0,11-50,New York,NY,US,"S Syracuse Print Co., Inc. offers custom screen printing and embroidery services for a variety of apparel, including t-shirts, hoodies, and hats, tailored for different needs such as school events, fu",
selectscreenprints.com,"Select Screen Prints & Embroidery, Inc.",87.0,11-50,Bloomington,IL,US,"Select Screen Prints & Embroidery, Inc. offers custom apparel services including screen printing and sublimation for schools, teams, businesses, and organizations across Central Illinois and nationwid",
nbnsports.com,NBN Sports,87.0,11-50,San Jose,CA,US,"NBN Sports offers custom screen printing services and apparel for various sports teams, corporate clients, and events. Their main functionality includes creating personalized uniforms, t-shirts, hoodi",
brandedscreenprinting.com,Branded Screen Printing,87.0,11-50,Reno,NV,US,"Branded is a custom printing service that specializes in apparel, promotional products, and apparel for businesses, teams, and events. It offers a wide range of items including t-shirts, hoodies, polo",https://www.linkedin.com/company/branded-screen-printing/
yourbrandcompany.com,Your Brand Company,87.0,11-50,Delray Beach,FL,US,"Your Brand Company is a retailer specializing in custom team and work apparel, including sportswear, accessories, and banners. They offer a wide range of products from over 60 top brands, allowing cus",
pridefit.com,Pridefit,87.0,11-50,New York,NY,US,"Pridefit is a fitness app designed specifically for LGBTQIA+ individuals, offering tailored workout plans and nutrition resources to help users achieve their health goals. The app provides personalize",
signatureprinthouse.com,Signature Printhouse,87.0,11-50,Newtown,CT,US,"Signature Printhouse is a custom screen printing service based in Newtown, CT, that specializes in creating personalized apparel and merchandise. The company handles all aspects of the printing proces",
aliveprintshop.com,Alive Print Shop,87.0,11-50,North Las Vegas,NV,US,"Alive Print Shop is a custom apparel and promotional products based in Las Vegas, specializing in bulk apparel for businesses, brands, and events. The service offers screen printing and embroidery for",
mtshastatees.com,MtShastaTees by Custom Designs,87.0,11-50,Mount Shasta,CA,US,"MtShastaTees by Custom Designs offers custom screen printing and embroidery services for a variety of apparel, including t-shirts, polos, sweatshirts, hats, jackets, and bags. The company specializes ",
braveenoughcrossfit.com,Brave Enough CrossFit,87.0,11-50,North Kansas City,MO,US,"Brave Enough CrossFit is a fitness gym located in North Kansas City that offers a variety of programs for individuals of all fitness levels. The main services include a No-Sweat Intro program, persona",
rtprintshop.com,Rogue Threads,87.0,11-50,White City,OR,US,"Rogue Threads is a custom apparel printing service that specializes in high-quality clothing and accessories for businesses, events, and creators. They offer a range of services including direct to ga",
brokeninkprinting.com,Broken Ink Screen Printing,87.0,11-50,Stover,MO,US,Broken Ink Screen Printing is a local screen printing shop that specializes in custom apparel and promotional items. They collaborate with clients to understand their ideas and provide free design ass,https://www.linkedin.com/company/broken-ink-screen-printing/
mentalgiantscrossfit.com,Mental Giants CrossFit,87.0,11-50,Dallas,TX,US,"Mental Giants CrossFit is a fitness gym in Dallas, TX, offering CrossFit classes, supplemental training, and personal training programs tailored to individual fitness goals. The gym provides a variety",
shirtletics.com,Shirtletics,87.0,11-50,Usa,,US,"Shirtletics is a platform that provides custom clothing and merchandise for fitness schools and companies. It allows users to submit their designs, which are then printed and processed through various",
exceltees.com,Excel Sportswear,87.0,11-50,Trafford,PA,US,"Excel Sportswear is a company that specializes in custom screen printing and hand-drawn t-shirts, hoodies, hats, and other apparel. They offer a wide range of customizable designs, including school de",https://www.linkedin.com/company/excel-sportswear/
crosscreationsandcustoms.com,Cross Creations & Customs,87.0,11-50,Atlanta,GA,US,Cross Creations & Customs is a custom apparel and branding service that specializes in creating tailored apparel for businesses and individuals. They offer a range of services including full-service g,
teampacks.com,Teampacks.com,87.0,11-50,Hampstead,NC,US,Teampacks.com is an online retailer specializing in sports apparel and custom printing services. The website offers a variety of products including team practice packs for different sports such as bas,
tamelessdesigns.com,Tameless Designs,87.0,1-10,Spotswood,NJ,US,"Tameless Designs offers custom apparel and branding services tailored for small businesses, contractors, and organizations. Their main functionality includes creating team apparel, logo design, and en",
crossfitcontrivance.com,CrossFit Contrivance,87.0,11-50,Holly Springs,NC,US,"CrossFit Contrivance is a CrossFit gym located in Apex, NC, offering a variety of fitness programs for all skill levels, including CrossFit, strength training, and yoga. The gym provides a supportive ",
